Class,Text_Data
Pending,transaction no be unresolved there have be only a partial payment of amount inr assure -PRON- that the rest will be pay later warm regard
Failed,urgent transaction cease this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
General,want to block account hey i be interested in buy a new citi card please let -PRON- know how to go about -PRON- thank in advance
Failed,transaction stall and payment not receive important -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,incomplete transaction i regret to inform -PRON- the i could only pay the partial amount of eur i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Failed,abrupt closure of transaction with -PRON- d greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Processing,require money acquire transaction be in process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Processing,transaction be now be process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Complete,fulfil transaction have -PRON- d hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Failed,failure of transaction this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Pending,partially pay the require amount for transaction i regret to inform -PRON- the i could only pay the partial amount of usd i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Processing,transaction be now be process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Pending,payment be pende for transaction hello greeting for the day status of transaction inr for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Failed,transaction have fail this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Processing,payment receive for transaction and now process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Processing,deal with the transaction this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Failed,why have -PRON- transaction stop i follow the procedure for create a transaction correctly still get an email say that the transaction do t happen i would like to know the reasoning -PRON- transaction -PRON- d be regard
Processing,handle the transaction after payment sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Request,implore update on transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Complete,payment do and transaction settle hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
General,send step to activate online banking this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Complete,finalized transaction of -PRON- d glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Processing,deal with the transaction hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Complete,payment do and transaction settle greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Request,urgently require update on transaction i want to know status of urgently please provide the same on priority basis
Failed,transaction have -PRON- d have stop help hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Failed,urgent transaction cease this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Processing,process transaction have -PRON- d acknowledge the received payment for transaction -PRON- be finally in process kind regard
Failed,urgent transaction cease greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Request,solicit information for -PRON- d i urgently need information on the last transaction make with the account no thank in advance
General,want to block account i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Pending,partially pay the require amount for transaction i regret to inform -PRON- the i could only pay the partial amount of gbp i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
General,new cheque book hey i would like to know if the bank would be open during lockdown thank in advance
Processing,deal with the transaction hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Pending,payment outstanding for transaction there have be only a partial payment of amount eur assure -PRON- that the rest will be pay later warm regard
Failed,transaction have fail greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Request,request to send detail of transaction i need detail of urgently please provide the same on priority basis
Pending,remain amount for transaction to be pay later i regret to inform -PRON- the i could only pay the partial amount of usd i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Request,seek update on the status of transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Request,implore update on transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Processing,process transaction have -PRON- d this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Pending,pende payment for transaction have -PRON- d hello greeting for the day status of transaction inr for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Request,impetrate detail for -PRON- d hey i would be really grateful if -PRON- could tell -PRON- the status of account no thank
Complete,payment do and transaction settle hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Failed,urgent transaction cease hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Request,impetrate detail for -PRON- d please provide a status update on at the early
Request,impetrate detail for -PRON- d i want some information for -PRON- account can -PRON- please send -PRON- to -PRON- thank
General,set up a new account with -PRON- hey can -PRON- please send -PRON- the detailed step that i ought to follow to create a new bank account
General,add one more contact no to account kindly add the contact no to -PRON- bank account
Pending,partial payment for transaction hello greeting for the day status of transaction inr for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Processing,handle the transaction after payment this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Pending,partially pay the require amount for transaction there have be only a partial payment of amount eur assure -PRON- that the rest will be pay later warm regard
Failed,transaction have -PRON- d have stop help this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Request,ask for the detail for transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Failed,why have -PRON- transaction stop hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Failed,transaction stall and payment not receive i make a payment of r and the money get dedcute from -PRON- account still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Complete,receive full payment for transaction no hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Failed,abrupt closure of transaction with -PRON- d greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Complete,transaction be complete hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Pending,pende payment for transaction have -PRON- d there have be only a partial payment of amount gbp assure -PRON- that the rest will be pay later warm regard
Complete,transaction be complete hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
General,add one more contact no to account i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
Processing,process transaction have -PRON- d this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Failed,why have -PRON- transaction stop hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Request,request to send detail of transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Request,ask for the detail for transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Processing,payment receive for transaction and now process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Failed,transaction stall and payment not receive this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Complete,payment do and transaction settle i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of usd
General,how to change pin no of atm card i would like to know the instruction to be follow to install and setup mobile banking please reply to -PRON- with the same thank in advance
Pending,transaction no be unresolved since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Pending,remain amount for transaction to be pay later the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Failed,why have -PRON- transaction stop hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Processing,process transaction have -PRON- d hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Request,impetrate detail for -PRON- d i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
General,add one more contact no to account i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
Processing,handle the transaction after payment thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Processing,accepted payment transaction currently process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Complete,transaction be complete i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
Failed,why have -PRON- transaction stop i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Request,impetrate detail for -PRON- d i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Request,implore update on transaction i need detail of urgently please provide the same on priority basis
Complete,transaction be complete glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
General,why can not i withdraw money with -PRON- atm card i would like to know the instruction to be follow to install and setup mobile banking please reply to -PRON- with the same thank in advance
Request,ask for the detail for transaction kindly note that this be urgent i need detail like the recipient of the transfer of amount for transaction reply soon
Failed,transaction stall and payment not receive greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Complete,receive full payment for transaction no to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Complete,conclude the transaction hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Failed,why have -PRON- transaction stop this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Processing,transaction be now be process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
General,add one more contact no to account hey can -PRON- please send -PRON- the detailed step that i ought to follow to create a new bank account
General,add one more contact no to account i would like to know the instruction to be follow to install and setup mobile banking please reply to -PRON- with the same thank in advance
General,want to block account i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Pending,pende payment for transaction have -PRON- d hello greeting for the day status of transaction eur for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Pending,payment outstanding for transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
General,upgrade to an account with more benefit i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Failed,why have -PRON- transaction stop i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
General,send step to activate online banking i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
Request,solicit information for -PRON- d i need detail of urgently please provide the same on priority basis
Failed,transaction stall and payment not receive hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Request,seek update on the status of transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Processing,require money acquire transaction be in process acknowledge the received payment for transaction -PRON- be finally in process kind regard
General,why can not i withdraw money with -PRON- atm card hey can -PRON- please send -PRON- the detailed step that i ought to follow to create a new bank account
Pending,payment be pende for transaction hello greeting for the day status of transaction inr for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Request,implore update on transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Processing,transaction be now be process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Failed,failure of transaction hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Processing,process transaction have -PRON- d thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Request,solicit information for -PRON- d i need detail of urgently please provide the same on priority basis
Failed,failure of transaction this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,pende payment for transaction have -PRON- d since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Request,impetrate detail for -PRON- d urgently require detail of acc reply asap
Failed,abrupt closure of transaction with -PRON- d hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Pending,payment outstanding for transaction i regret to inform -PRON- the i could only pay the partial amount of gbp i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Complete,complete transaction no greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Request,urgently require update on transaction please provide a status update on at the early
Processing,deal with the transaction sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Processing,transaction be now be process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Failed,transaction have fail this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Processing,process transaction have -PRON- d acknowledge the received payment for transaction -PRON- be finally in process kind regard
Pending,partial payment for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Complete,complete transaction no hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
General,why can not i withdraw money with -PRON- atm card kindly add the contact no to -PRON- bank account
Request,seek update on the status of transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Processing,transaction be now be process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Pending,partially pay the require amount for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Request,ask for the detail for transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Failed,transaction stall and payment not receive greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Pending,incomplete transaction i regret to inform -PRON- the i could only pay the partial amount of usd i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Pending,pende payment for transaction have -PRON- d the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Processing,payment receive for transaction and now process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Processing,process transaction have -PRON- d this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Failed,urgent transaction cease i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Failed,transaction stall and payment not receive i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Processing,process transaction have -PRON- d this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Request,solicit information for -PRON- d i need detail of urgently please provide the same on priority basis
Processing,handle the transaction after payment acknowledge the received payment for transaction -PRON- be finally in process kind regard
Failed,abrupt closure of transaction with -PRON- d this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Request,solicit information for -PRON- d please provide a status update on at the early
Complete,payment do and transaction settle to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
General,how to change pin no of atm card this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Processing,transaction be now be process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Complete,finalized transaction of -PRON- d i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of usd
Complete,conclude the transaction greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Request,seek update on the status of transaction urgently require detail of acc reply asap
Pending,incomplete transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Failed,transaction stall and payment not receive greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Failed,failure of transaction i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Pending,pende payment for transaction have -PRON- d hello greeting for the day status of transaction inr for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Pending,transaction no be unresolved i regret to inform -PRON- the i could only pay the partial amount of gbp i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Failed,transaction have fail this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Request,request to send detail of transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Processing,require money acquire transaction be in process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Processing,handle the transaction after payment sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Complete,complete transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
Request,implore update on transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
General,send step to activate online banking hey can -PRON- please send -PRON- the detailed step that i ought to follow to create a new bank account
Pending,incomplete transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Complete,transaction be complete to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
General,want to block account i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
Processing,handle the transaction after payment thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Failed,why have -PRON- transaction stop greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Request,impetrate detail for -PRON- d can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
General,send step to activate online banking this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Failed,transaction stall and payment not receive greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Failed,abrupt closure of transaction with -PRON- d i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Pending,partial payment for transaction i regret to inform -PRON- the i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Complete,finalized transaction of -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Failed,urgent transaction cease greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Complete,sort out the transaction with -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Pending,payment outstanding for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Complete,conclude the transaction to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Request,urgently require update on transaction urgently require detail of acc reply asap
Complete,sort out the transaction with -PRON- d greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Processing,payment receive for transaction and now process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Processing,process transaction have -PRON- d hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Failed,why have -PRON- transaction stop greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Request,seek update on the status of transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Failed,transaction stall and payment not receive greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Complete,receive full payment for transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of usd
Pending,the pende amount for transaction will reach -PRON- soon there have be only a partial payment of amount eur assure -PRON- that the rest will be pay later warm regard
Pending,partially pay the require amount for transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Pending,incomplete transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Complete,fulfil transaction have -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Request,request to send detail of transaction urgently require detail of acc reply asap
General,change address for account no i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Complete,transaction be complete greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Failed,why have -PRON- transaction stop greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Complete,conclude the transaction hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Request,seek update on the status of transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Processing,handle the transaction after payment hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Failed,abrupt closure of transaction with -PRON- d i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Request,seek update on the status of transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Processing,require money acquire transaction be in process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Pending,partially pay the require amount for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
General,why can not i withdraw money with -PRON- atm card i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Complete,conclude the transaction hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Request,seek update on the status of transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Pending,transaction no be unresolved the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
General,change address for account no hey i think i lose -PRON- atm card today so can -PRON- please block -PRON- account or tell -PRON- a way to change -PRON- pin no i urgently need -PRON- reply thank in advance
Failed,transaction have -PRON- d have stop help this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Complete,complete transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of usd
Pending,pende payment for transaction have -PRON- d hello greeting for the day status of transaction inr for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Processing,handle the transaction after payment thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Request,impetrate detail for -PRON- d urgently require detail of acc reply asap
Failed,abrupt closure of transaction with -PRON- d this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Failed,failure of transaction this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Complete,sort out the transaction with -PRON- d glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Pending,transaction no be unresolved hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Pending,partially pay the require amount for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Request,impetrate detail for -PRON- d i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Processing,accepted payment transaction currently process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Processing,transaction be now be process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Failed,why have -PRON- transaction stop this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Request,impetrate detail for -PRON- d hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Complete,receive full payment for transaction no greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Failed,abrupt closure of transaction with -PRON- d greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
General,upgrade to an account with more benefit i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Complete,conclude the transaction to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Pending,remain amount for transaction to be pay later hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Complete,sort out the transaction with -PRON- d hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Processing,process transaction have -PRON- d thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Processing,process transaction have -PRON- d thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
